"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 00:24:54 WAT 2023","Fri Dec 01 00:24:54 WAT 2023","339","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Dec 01 00:25:05 WAT 2023","Fri Dec 01 00:25:05 WAT 2023","282","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Dec 01 00:24:31 WAT 2023","Fri Dec 01 00:24:31 WAT 2023","408","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 00:24:46 WAT 2023","Fri Dec 01 00:24:46 WAT 2023","419","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Dec 01 00:24:36 WAT 2023","Fri Dec 01 00:24:36 WAT 2023","288","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Dec 01 00:25:06 WAT 2023","Fri Dec 01 00:25:06 WAT 2023","441","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Fri Dec 01 00:24:50 WAT 2023","Fri Dec 01 00:24:50 WAT 2023","558","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Dec 01 00:25:12 WAT 2023","Fri Dec 01 00:25:12 WAT 2023","366","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Dec 01 00:24:44 WAT 2023","Fri Dec 01 00:24:44 WAT 2023","334","Marketing","Email Campaigns","","","","Get a shared template url",""
"passed","Fri Dec 01 00:25:04 WAT 2023","Fri Dec 01 00:25:05 WAT 2023","280","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Fri Dec 01 00:24:39 WAT 2023","Fri Dec 01 00:24:39 WAT 2023","309","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"failed","Fri Dec 01 00:25:12 WAT 2023","Fri Dec 01 00:25:13 WAT 2023","402","Accounts and settings","Senders","","","","Update a sender",""
"passed","Fri Dec 01 00:24:57 WAT 2023","Fri Dec 01 00:24:58 WAT 2023","290","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Dec 01 00:24:35 WAT 2023","Fri Dec 01 00:24:36 WAT 2023","273","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"failed","Fri Dec 01 00:24:12 WAT 2023","Fri Dec 01 00:24:14 WAT 2023","1242","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Fri Dec 01 00:24:08 WAT 2023","Fri Dec 01 00:24:08 WAT 2023","457","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Fri Dec 01 00:24:32 WAT 2023","Fri Dec 01 00:24:32 WAT 2023","332","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 00:24:21 WAT 2023","Fri Dec 01 00:24:22 WAT 2023","1043","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Dec 01 00:24:28 WAT 2023","Fri Dec 01 00:24:29 WAT 2023","211","eCommerce","Categories","","","","Create/update a category",""
"failed","Fri Dec 01 00:24:42 WAT 2023","Fri Dec 01 00:24:43 WAT 2023","717","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Dec 01 00:24:59 WAT 2023","Fri Dec 01 00:25:00 WAT 2023","276","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Dec 01 00:24:34 WAT 2023","Fri Dec 01 00:24:35 WAT 2023","321","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Fri Dec 01 00:24:47 WAT 2023","Fri Dec 01 00:24:47 WAT 2023","271","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Fri Dec 01 00:25:03 WAT 2023","Fri Dec 01 00:25:04 WAT 2023","276","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Fri Dec 01 00:24:45 WAT 2023","Fri Dec 01 00:24:45 WAT 2023","744","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Dec 01 00:24:09 WAT 2023","Fri Dec 01 00:24:10 WAT 2023","551","Sales CRM","Deals","","","","Create a deal",""
"failed","Fri Dec 01 00:24:43 WAT 2023","Fri Dec 01 00:24:43 WAT 2023","334","Marketing","Email Campaigns","","","","Update an email campaign status",""
"failed","Fri Dec 01 00:24:55 WAT 2023","Fri Dec 01 00:24:55 WAT 2023","685","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Fri Dec 01 00:24:27 WAT 2023","Fri Dec 01 00:24:27 WAT 2023","578","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Dec 01 00:24:30 WAT 2023","Fri Dec 01 00:24:30 WAT 2023","210","eCommerce","","","","","Activate eCommerce platform on your account",""
"failed","Fri Dec 01 00:24:08 WAT 2023","Fri Dec 01 00:24:09 WAT 2023","493","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Dec 01 00:24:53 WAT 2023","Fri Dec 01 00:24:53 WAT 2023","379","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Dec 01 00:25:07 WAT 2023","Fri Dec 01 00:25:07 WAT 2023","261","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Fri Dec 01 00:24:47 WAT 2023","Fri Dec 01 00:24:47 WAT 2023","298","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Dec 01 00:24:06 WAT 2023","Fri Dec 01 00:24:07 WAT 2023","588","Sales CRM","Companies","","","","Get a company",""
"passed","Fri Dec 01 00:24:29 WAT 2023","Fri Dec 01 00:24:29 WAT 2023","210","eCommerce","Categories","","","","Get a category details",""
"passed","Fri Dec 01 00:24:48 WAT 2023","Fri Dec 01 00:24:49 WAT 2023","254","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Fri Dec 01 00:25:04 WAT 2023","Fri Dec 01 00:25:04 WAT 2023","305","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Fri Dec 01 00:24:39 WAT 2023","Fri Dec 01 00:24:40 WAT 2023","472","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Fri Dec 01 00:24:29 WAT 2023","Fri Dec 01 00:24:30 WAT 2023","198","eCommerce","Products","","","","Get a product's details",""
"passed","Fri Dec 01 00:24:33 WAT 2023","Fri Dec 01 00:24:33 WAT 2023","258","Transactional","Templates","","","","Returns the template information",""
"passed","Fri Dec 01 00:25:07 WAT 2023","Fri Dec 01 00:25:07 WAT 2023","258","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Fri Dec 01 00:24:28 WAT 2023","Fri Dec 01 00:24:28 WAT 2023","234","eCommerce","Orders","","","","Create orders in batch",""
"failed","Fri Dec 01 00:24:53 WAT 2023","Fri Dec 01 00:24:53 WAT 2023","365","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Dec 01 00:25:08 WAT 2023","Fri Dec 01 00:25:09 WAT 2023","275","Accounts and settings","Process","","","","Return the informations for a process",""
"passed","Fri Dec 01 00:24:38 WAT 2023","Fri Dec 01 00:24:39 WAT 2023","316","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Fri Dec 01 00:24:15 WAT 2023","Fri Dec 01 00:24:16 WAT 2023","911","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Dec 01 00:24:54 WAT 2023","Fri Dec 01 00:24:54 WAT 2023","333","Contact management","Folders","","","","Create a folder",""
"passed","Fri Dec 01 00:25:08 WAT 2023","Fri Dec 01 00:25:08 WAT 2023","284","Accounts and settings","Process","","","","Return all the processes for your account",""
"failed","Fri Dec 01 00:24:25 WAT 2023","Fri Dec 01 00:24:25 WAT 2023","502","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Dec 01 00:24:48 WAT 2023","Fri Dec 01 00:24:48 WAT 2023","254","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"passed","Fri Dec 01 00:24:15 WAT 2023","Fri Dec 01 00:24:15 WAT 2023","787","Sales CRM","Tasks","","","","Get all task types",""
"passed","Fri Dec 01 00:24:30 WAT 2023","Fri Dec 01 00:24:30 WAT 2023","293","Transactional","Email API","","","","Send a transactional email",""
"passed","Fri Dec 01 00:25:06 WAT 2023","Fri Dec 01 00:25:06 WAT 2023","280","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Dec 01 00:25:07 WAT 2023","Fri Dec 01 00:25:07 WAT 2023","274","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Fri Dec 01 00:25:10 WAT 2023","Fri Dec 01 00:25:11 WAT 2023","237","Accounts and settings","Corporate","","","","Update sub-account plan",""
"passed","Fri Dec 01 00:24:28 WAT 2023","Fri Dec 01 00:24:28 WAT 2023","267","eCommerce","Orders","","","","Create/update an order",""
"passed","Fri Dec 01 00:24:30 WAT 2023","Fri Dec 01 00:24:30 WAT 2023","227","eCommerce","Products","","","","Create products in batch",""
"passed","Fri Dec 01 00:24:58 WAT 2023","Fri Dec 01 00:24:58 WAT 2023","590","Contact management","Lists","","","","Get a list's details",""
"passed","Fri Dec 01 00:24:40 WAT 2023","Fri Dec 01 00:24:41 WAT 2023","398","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Fri Dec 01 00:25:09 WAT 2023","Fri Dec 01 00:25:09 WAT 2023","242","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"passed","Fri Dec 01 00:24:30 WAT 2023","Fri Dec 01 00:24:31 WAT 2023","291","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"failed","Fri Dec 01 00:24:41 WAT 2023","Fri Dec 01 00:24:42 WAT 2023","724","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Dec 01 00:24:23 WAT 2023","Fri Dec 01 00:24:23 WAT 2023","502","Sales CRM","Files","","","","Delete a file",""
"passed","Fri Dec 01 00:24:06 WAT 2023","Fri Dec 01 00:24:06 WAT 2023","441","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Fri Dec 01 00:24:25 WAT 2023","Fri Dec 01 00:24:26 WAT 2023","537","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Fri Dec 01 00:24:14 WAT 2023","Fri Dec 01 00:24:15 WAT 2023","1050","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Dec 01 00:24:28 WAT 2023","Fri Dec 01 00:24:28 WAT 2023","212","eCommerce","Categories","","","","Get all categories",""
"passed","Fri Dec 01 00:24:44 WAT 2023","Fri Dec 01 00:24:44 WAT 2023","257","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"failed","Fri Dec 01 00:24:22 WAT 2023","Fri Dec 01 00:24:22 WAT 2023","744","Sales CRM","Files","","","","Download a file",""
"passed","Fri Dec 01 00:24:30 WAT 2023","Fri Dec 01 00:24:30 WAT 2023","208","eCommerce","Products","","","","Create/update a product",""
"passed","Fri Dec 01 00:24:49 WAT 2023","Fri Dec 01 00:24:50 WAT 2023","282","Marketing","WhatsApp Campaigns","","","","Delete a Whatsapp campaign",""
"passed","Fri Dec 01 00:24:31 WAT 2023","Fri Dec 01 00:24:32 WAT 2023","796","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
