iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","SendInBlueAPI","Get all Companies","GET","https://api.sendinblue.com/v3/companies","Internal Server Error","500","1031","155","Status code is 500",,,"1","1","0","0"
"1","SendInBlueAPI","Create a company","POST","https://api.sendinblue.com/v3/companies","OK","200","747","34","Status code is 200, Verify newly generated ID, Content-Type is present, Response time is less than 1000ms, Successful POST request, Status code name has OK",,,"6","6","0","0"
"1","SendInBlueAPI","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","OK","200","658","1719","Verify Status Code, Verify newly Internal Name, Verify internalName 2, Verify internalName 3, Verify internalName 4, Verify internalName 5, Verify internalName 6, Verify internalName 7, Verify internalName 8, Content-Type is present, Response time is less than 1000ms, Status code name has OK",,,"12","12","0","0"
"1","SendInBlueAPI","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/656915c42685911c206172ff","No Content","204","276","0","Verify Status Code, Content-Type is present, Response time is less than 1000ms, Status code name has No content",,,"4","4","0","0"
"1","SendInBlueAPI","Get a company","GET","https://api.sendinblue.com/v3/companies/656915c42685911c206172ff","OK","200","305","447","Verify Status Code, Verify ID, Verify attributeTypeName , Verify Domain , Verify Industry , Verify Name , Content-Type is present, Response time is less than 1000ms, Status code name has Ok",,,"9","9","0","0"
"1","SendInBlueAPI","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/656915c42685911c206172ff","No Content","204","314","0","Verify Status Code, Content-Type is present, Content-Type is present, Status code name has No Content, Response time is less than 2000ms",,,"5","5","0","0"
"1","SendInBlueAPI","Update a company","PATCH","https://api.sendinblue.com/v3/companies/656915c42685911c206172ff","Bad Request","400","228","47","Content-Type is present, Response time is less than 2000ms","Verify Status Code, Status code name has No Content",,"4","2","2","0"
"1","SendInBlueAPI","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","OK","200","372","542","Verify status code, Verify Pipeline Value, Verify Pipeline name, Verify Stage 1, Verify Stage 2, Verify Stage 3, Verify Stage 4, Verify Stage 5, Verify Stage 6, Verify Stage 7, Content-Type is present, Response time is less than 2000ms, Status code name has string",,,"13","13","0","0"
"1","SendInBlueAPI","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals","OK","200","540","5466","Verify Status Code, Verify Items , Verify Pipeline name, Content-Type is present, Status code name has OK, Response time is less than 1000ms","Verify Items 1 , Verify Items 2 , Verify Items 3, Verify Items 4, Verify Items  5, Verify Count ",,"12","6","6","0"
"1","SendInBlueAPI","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","OK","200","472","34","Verify Status Code, Verify newly generated ID, Content-Type is present, Content-Type is present, Response time is less than 1000ms, Successful POST request",,,"6","6","0","0"
"1","SendInBlueAPI","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/656915c8e9b135555c0cf351","Bad Request","400","214","71","Content-Type is present, Response time is less than 1000ms","Verify Status Code, Status code name has string",,"4","2","2","0"
